Partlist

Exported from Uniformity Array.brd at 3/28/16 1:24 PM

EAGLE Version 7.5.0 Copyright (c) 1988-2015 CadSoft

Assembly variant: 

Part     Value             Package               Library                       Position (inch)       Orientation

C1       1uf               C0402                 Seeed-Capacitor-2016          (1.65 0.15)           R0
C2       1uf               C0402                 Seeed-Capacitor-2016          (1.65 0.55)           R0
C3       1uf               C0402                 Seeed-Capacitor-2016          (1.65 0.95)           R0
C4       1uf               C0402                 Seeed-Capacitor-2016          (1.2 2.95)            R0
C5       1uf               C0402                 Seeed-Capacitor-2016          (0.46 2.425)          R270
C6       100nf             C0402                 Seeed-Capacitor-2016          (0.79 2.785)          R270
C7       1uf               C0402                 Seeed-Capacitor-2016          (0.685 2.8)           R180
C9       100nf             C0402                 Seeed-Capacitor-2016          (0.45 2.9)            R90
C10      100nf             C0402                 Seeed-Capacitor-2016          (1.225 2.44)          R180
C11      100nf             C0402                 Seeed-Capacitor-2016          (1.04 2.775)          R270
C12      10pf              C0603                 Seeed-Capacitor-2016          (0.8 2.1)             R90
C13      4.7PF             C0603                 Seeed-Capacitor-2016          (0.975 2.1)           R270
C14      22uf              AVX-A                 Seeed-Capacitor-2016          (0.15 2.865)          R90
C15      1uf               C0402                 Seeed-Capacitor-2016          (1.65 1.35)           R0
C16      1uf               C0402                 Seeed-Capacitor-2016          (2.15 0.15)           R0
C17      1uf               C0402                 Seeed-Capacitor-2016          (2.15 0.55)           R0
C18      1uf               C0402                 Seeed-Capacitor-2016          (2.15 0.95)           R0
C19      1uf               C0402                 Seeed-Capacitor-2016          (2.15 1.35)           R0
C20      1uf               C0402                 Seeed-Capacitor-2016          (2.65 0.15)           R0
C21      1uf               C0402                 Seeed-Capacitor-2016          (2.65 0.55)           R0
C22      1uf               C0402                 Seeed-Capacitor-2016          (2.65 0.95)           R0
C23      1uf               C0402                 Seeed-Capacitor-2016          (2.65 1.35)           R0
C24      1uf               C0402                 Seeed-Capacitor-2016          (3.15 0.15)           R0
C25      1uf               C0402                 Seeed-Capacitor-2016          (3.15 0.55)           R0
C26      1uf               C0402                 Seeed-Capacitor-2016          (3.15 0.95)           R0
C27      1uf               C0402                 Seeed-Capacitor-2016          (3.15 1.35)           R0
C28      1uf               C0402                 Seeed-Capacitor-2016          (3.65 0.15)           R0
C29      1uf               C0402                 Seeed-Capacitor-2016          (3.65 0.55)           R0
C30      1uf               C0402                 Seeed-Capacitor-2016          (3.65 0.95)           R0
C31      1uf               C0402                 Seeed-Capacitor-2016          (3.65 1.35)           R0
C32      1uf               C0402                 Seeed-Capacitor-2016          (3.65 2.525)          R90
C33      1uf               C0402                 Seeed-Capacitor-2016          (2.7 2.525)           R90
C34      1uf               C0402                 Seeed-Capacitor-2016          (1.7 2.525)           R90
D2       75V 150MA         LED-1206              Seeed-Diode-2016              (0.55 1.875)          R180
F1       MF-MSMF050-2      F1812                 Seeed-Fuse-2016               (0.305 2.905)         R90
IC2      SI1145            QFN-10                silabs                        (2.25 1.35)           R270
IC3      SI1145            QFN-10                silabs                        (2.25 0.55)           R270
IC4      SI1145            QFN-10                silabs                        (2.25 0.15)           R270
IC5      SI1145            QFN-10                silabs                        (2.25 0.95)           R270
IC6      SI1145            QFN-10                silabs                        (1.75 1.35)           R270
IC7      SI1145            QFN-10                silabs                        (1.75 0.55)           R270
IC8      SI1145            QFN-10                silabs                        (1.75 0.15)           R270
IC9      SI1145            QFN-10                silabs                        (1.75 0.95)           R270
IC10     SI1145            QFN-10                silabs                        (2.75 1.35)           R270
IC11     SI1145            QFN-10                silabs                        (2.75 0.55)           R270
IC12     SI1145            QFN-10                silabs                        (2.75 0.15)           R270
IC13     SI1145            QFN-10                silabs                        (2.75 0.95)           R270
IC14     SI1145            QFN-10                silabs                        (3.25 1.35)           R270
IC15     SI1145            QFN-10                silabs                        (3.25 0.55)           R270
IC16     SI1145            QFN-10                silabs                        (3.25 0.15)           R270
IC17     SI1145            QFN-10                silabs                        (3.25 0.95)           R270
IC18     SI1145            QFN-10                silabs                        (3.75 1.35)           R270
IC19     SI1145            QFN-10                silabs                        (3.75 0.55)           R270
IC20     SI1145            QFN-10                silabs                        (3.75 0.15)           R270
IC21     SI1145            QFN-10                silabs                        (3.75 0.95)           R270
J3       USB-MICRO!!!      USB-B-MICRO-SMD_V03   SparkFun-Connectors           (0.08 2.55)           R0
J4       2x3p-2.54         H2X3-2.54             Seeed-Connector -2016         (0.55 2.05)           R90
K1       DTSM-62K-S-V-T/R  SW4-SMD-6.0X6.0X5.0MM Seeed-Switch-2016             (0.175 2)             R270
L        GREEN-0805        LED-0805              Seeed-LED-2016                (1.375 2.565)         R270
L1       330R-1500MA       L0805                 Seeed-OPL-Inductor            (0.575 2.8)           R90
ON       CLEAR-BLUE-0805   LED-0805              Seeed-LED-2016                (0.6 3.05)            R0
R1       10K               R0402                 Seeed-Resistor-2016           (0.55 1.775)          R90
R2       10K               R0402                 Seeed-Resistor-2016           (0.45 2.975)          R270
R4       22R               R0603                 Seeed-Resistor-2016           (0.475 2.5)           R90
R5       1K                R0402                 Seeed-Resistor-2016           (0.45 3.05)           R90
R8       1K                R0402                 Seeed-Resistor-2016           (1.225 2.6)           R90
R10      10K               R0402                 Seeed-OPL-Resistor            (1.15 2.75)           R0
R11      22R               R0603                 Seeed-Resistor-2016           (0.475 2.625)         R90
R12      510R              R0603                 Seeed-Resistor-2016           (1.8 0.7)             R0
R13      510R              R0603                 Seeed-Resistor-2016           (1.8 0.3)             R0
R14      510R              R0603                 Seeed-Resistor-2016           (1.7 1.5)             R0
R15      510R              R0603                 Seeed-Resistor-2016           (1.7 1.1)             R0
R16      510R              R0603                 Seeed-Resistor-2016           (1.8 1.5)             R0
R17      510R              R0603                 Seeed-Resistor-2016           (1.8 1.1)             R0
R18      510R              R0603                 Seeed-Resistor-2016           (2.3 0.7)             R0
R19      510R              R0603                 Seeed-Resistor-2016           (2.3 0.3)             R0
R20      510R              R0603                 Seeed-Resistor-2016           (2.2 0.7)             R0
R21      510R              R0603                 Seeed-Resistor-2016           (2.2 0.3)             R0
R22      510R              R0603                 Seeed-Resistor-2016           (2.7 0.7)             R0
R23      510R              R0603                 Seeed-Resistor-2016           (2.7 0.3)             R0
R24      510R              R0603                 Seeed-Resistor-2016           (2.8 0.7)             R0
R25      510R              R0603                 Seeed-Resistor-2016           (2.8 0.3)             R0
R26      510R              R0603                 Seeed-Resistor-2016           (2.8 1.5)             R0
R27      510R              R0603                 Seeed-Resistor-2016           (2.8 1.1)             R0
R28      510R              R0603                 Seeed-Resistor-2016           (2.7 1.5)             R0
R29      510R              R0603                 Seeed-Resistor-2016           (2.7 1.1)             R0
R30      510R              R0603                 Seeed-Resistor-2016           (3.3 0.7)             R0
R31      510R              R0603                 Seeed-Resistor-2016           (3.3 0.3)             R0
R32      510R              R0603                 Seeed-Resistor-2016           (3.2 0.7)             R0
R33      510R              R0603                 Seeed-Resistor-2016           (3.2 0.3)             R0
R34      510R              R0603                 Seeed-Resistor-2016           (1.7 0.7)             R0
